Diameter (mm),Lifetime Operating Carbon (Tonnes CO2),Capital Carbon Cost (Tonnes CO2),Equivalent lifetime Carbon Cost (Tonnes CO2)
315.0,262880.2317644178,3991.3499919490814,266871.5817563669
355.0,147492.2195949041,5069.386573296881,152561.606168201
400.0,82855.43470878148,6436.039291628657,89291.47400041013
450.0,46909.157696761926,8145.612228467515,55054.76992522944
500.0,28205.81669106549,10056.31139316977,38262.12808423526
560.0,16323.13493724137,12614.637011592165,28937.771948833535
630.0,9247.68009657929,15965.399967796326,25213.080064375616
710.0,5196.074424227229,20277.546293187523,25473.620717414753
800.0,2923.073238039343,25744.15716651463,28667.23040455397
900.0,1657.2282437122951,32582.44891387006,34239.67715758235
1000.0,997.7177848079499,40225.24557267908,41222.96335748703
1100.0,630.561879365528,48672.54714294172,49303.10902230725
1200.0,414.82078983572836,57924.3536246579,58339.17441449363
